test_id	mode	event	status	spoof_continues	spoof_stops	reconnects_automatically	mac_required	internet_required	vanish_backend_required	usb_required	recovery_seconds	user_action_required	evidence
T14	REPEAT_PER_MODE	iPhone unlocked	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T15	REPEAT_PER_MODE	iPhone rebooted	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T16	REPEAT_PER_MODE	Airplane Mode on then off	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T17	REPEAT_PER_MODE	Personal Hotspot enabled	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T18	REPEAT_PER_MODE	Personal Hotspot disabled	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T19	REPEAT_PER_MODE	Mac rebooted	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T20	REPEAT_PER_MODE	Temporary internet loss then restoration	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T21	PHONE_LOCAL	Cold cellular start with helper active	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T22	PHONE_LOCAL	Cellular off bootstrap then cellular restored	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T23	PHONE_LOCAL	Fresh retarget after Mac power-off	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T24	PHONE_LOCAL	Clear after Mac power-off	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T25	REPEAT_PER_MODE	Revert while transport disconnected then reconnect	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T26	REPEAT_PER_MODE	Normal restart of Vanish	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
